"name"
"“BIG JIM” COLOSIMO"
"THE KINGPIN"
"FRANKIE’S FEAST"
"“BIG BILL” THOMPSON"
"DON’T CALL ME CHICKEN"
"DINNERS INCLUDE:"
"DA APPETIZERS"
"Black Jacks..........Serves-2..........$5.95"
"Double Black Jacks..........Serves-4..........$9.95"
"Little Tramp Shrimp..........Serves-2..........$8.95"
"Little Caesar..........Serves-3-4.........$11.95"
"Big Caesar..........Serves 8-10..........$17.95"
"("
"DA HOOCH (ALCOHOL)"
"MARTINI LIST"
"WINE LIST"
"SPECIALTY DRINK LIST"
