cuisine1,cuisine2,cuisine3,count
hotdogs,burgers,coffee,4
seafood,dimsum,cantonese,3
bars,pizza,italian,2
traditional american,seafood,chicken wings,2
pizza,venues,italian,2
bubble tea,seafood,cantonese,1
noodles,comfort food,szechuan,1
caribbean,seafood,vegetarian,1
mongolian,hotpot,chinese,1
indian pakistan,italian,cajun,1
chinese,seafood,asian fusion,1
italian,pizza,sandwiches,1
chicken wings,korean,salad,1
british,pubs,breakfast brunch,1
delis,grocery,sandwiches,1
taiwanese,shavedice,bubble tea,1
burgers,mexican,cocktail bars,1
dimsum,seafood,juice bars,1
spanish,tapa small plates,venues,1
vegan,mexican,meats,1
ice cream,burgers,hotdogs,1
mongolian,bbq,hotpot,1
theater,traditional american,comedyclubs,1
new american,breakfast brunch, bars,1
korean,polish, bars,1
bubble tea,noodles,hotpot,1
hotpot,chinese,noodles,1
desserts,creperies,ice cream,1
sports bars,traditional american,italian,1
steak,desserts,salad,1
diners,burgers,hotdog,1
breakfast brunch,traditional american,hotdog,1
bakeries,cantonese,hkcafe,1
mediterranean,middle eastern,breakfast brunch,1
japanese,asian fusion,noodles,1
coffee,beer gardens,new american,1
japanese,sushi,asian fusion,1
cafes,breakfast brunch,pizza,1
venues,bed and breakfast,traditional american,1
chinese,bbq,juice bars,1
ice cream,gelato,cafes,1
food trucks,sandwiches,steak,1
delis,sandwiches,burgers,1
hotdog,seafood,breakfast brunch,1
music video,music venues,traditional american,1
coffee,chinese,taiwanese,1
pizza,salad,italian,1
diners,burgers,sandwiches,1
convenience,grocery,delis,1
diners,traditional american,breakfast brunch,1
chicken wings,new american,sandwiches,1
pubs,traditional american,breakfast brunch,1
breakfast brunch,traditional american,sandwiches,1
bars,karaoke,asian fusion,1
japanese,karaoke,lounges,1
bbq,traditional american,whiskey bars,1
asian fusion,lounges,karaoke,1
diners,new american,mexican,1
street vendors,hotdog,mexican,1
new american,latin,cuban,1
hotdogs,chicken wings,seafood,1
chinese,sushi,thai,1
salad,breakfast brunch,burgers,1
desserts,salad,burgers,1
coffee,breakfast brunch,convenience,1
pizza,new american,burgers,1
indian pakistan,vegan,intlgrocery,1
pizza,chicken wings,sandwiches,1
street vendors,hotdogs,burgers,1
